"Negative Review","Positive Review","","","",""
"The underfloor heating in the bathroom was a bit hot but better than none There was only 1 bedside table"," We had a basement room which seemed a bit strange at first but it was SO QUIET and that allowed us to rest ","","","",""
" I think some bedrooms are quiet small but if only stay for one or two days is OK ","The air condition is very good Clean and tidy room The staff are friendly and helpful Lots of Italian restaurants around and I found 3 local shops nearby","","","",""
"Felt the staff could be friendlier accent was hard to understand hotel is a little tatty and our deluxe double was tiny no wardrobe space except to hang 3 shirts nothing for dresses etc also was my birthday and my boyfriend proposed staff had been informed and nothing was supplied as a congratulations"," The bed was very comfortable no noise and a short walk to the tube shower was lovely and powerful ","","","",""
" The fact that I wanted to extend the stay which they were unable to do where as when I rang them before leaving I was told I could So then I had no choice but to pay extra I felt the staff was useless "," I liked the area and location I was in","","","",""
"The staff at the bar was not really qualified WE ordered a bottle of Prosecco but instead of pouring the first glass as one would expect the just left informing us 10 minutes later that WE would need to pay as they are closing We got a room in the basement which is considering the price I would have liked to know prior to my stay","No Positive","","","",""
" Not sure it was the problem of the hotel or booking com The triple room I booked was canceled due to inefficient credit card I provided However the card is totally fine when I checked in to the hotel This cost a great trouble during our first night in the hotel "," The English breakfast is good and the Junior suite is quite big and on the upper floor My parents and I had a really great time in London ","","","",""
" As mentioned staff have no authority to help the guest always they have to back the main office","3 times I have problem one time gave room in basement then transfer me to anthor hotel one they cancel my booking before 18 then transfer another hotel one tome we spent full night without ac ang evening team can not do any thing staff nice but no authority every thing the have to back to central","","","",""
"they gave us a room in the basement then when we wanted to change we had to wait more than one hour we were there at 8 pm don t know they did this because was a late arrival But it was a very bad beginning and not easy to get over because the second room provided had a window over a climatisation area and was very noisy 24 hour"," very close to tube this was practical ","","","",""
" The first girl on reception was a bit over the top the rest of the staff were lovely I was over charged for two extra nights I just emailed hoping to get a refund"," Value for money","","","",""
"First room 802 was under the dining room and was extremely noisy scrapping of chairs on the floors woke Up by the noise Did complain and the staff who were very very helpful moved us to a room that was smaller but quieter so we had a very nice sleep"," Breakfast was lovely xxxxxx","","","",""
" The gym is in the basement floor at the end of a long corridor Not so encouraging to use because of its location "," Excellent location and friendly staff ","","","",""
"Bedroom was like a walk in wardrobe Staff had very limited English Wasn t asked if I slept well on either nights Room had a loud running water noise all night Premier inn hotels are x20s better"," Nothing much likeable about this place","","","",""
" the room was at the back of the hotel and the window was looking at another guests window poor light ng was coming through it was like a dungeon "," the bathroom was quite big location was very convenient","","","",""
" Nothing "," The staff were all exceptionally pleasant polite helpful and attentive The hotel was sparkling clean and stylishly decorated throughout The Handy device is a great idea ","","","",""
"The room was very small for the price and the wet room toilet was very very small so if you had a shower it would get the whole floor wet The room was hot and we could only open the windows about 2 inches"," We were going to the hyde Park British summer time festival so this hotel was in a good location and very close to tube station Staff were very polite and helpful On our first day we were up and out too early for breakfast so the hotel did provide us with a take away breakfast which was good enough and on the Sunday we had breakfast in the hotel it was lovely good variety ","","","",""
" The staff in room service over the phone were rude the bathroom was a wet room which flooded everytime you had a shower as the plug was blocked the room was very small just big enough for a double bed ","No Positive","","","",""
" Bathroom was ridiculously small and tight Shower sprayed all over the small floor making it slippery as did the tiny sink The rooms are faded and dated and didn t strike me as very clean Would not book here again "," Easy access to Paddington Station and Kensington Park Off main roads in residential area ","","","",""
" Maybe some better refreshments in the room instead of wine but other than that couldn t fault it "," Great staff friendly and helpful good size room for location","","","",""
"Didn t appreciate the small room originally allocated given I was staying 7 nights Had issues with the bathroom of the new room allocated as well but friendly staff sorted it out"," The fresh flakey pastries each morning were great ","","","",""
" I hated the fact that there was no Lip on the shower the entire bathroom was wet after one of us had a shower never saw this in a hotel before The room was very small for a so called deluxe double The hair conditioner was never replaced ","No Positive","","","",""
" Check in seemed unnecessarily fussy in terms of things that needed a signature I ve checked in to other hotels through bookings com before and hardly needed to sign anything on arrival Also although I didn t go in to the club room it didn t look anything special through the windows and certainly nothing worth upgrading your room to have access to I didn t see the point of it "," We were upgraded to Junior Suite","","","",""
" All good nothing to dislike "," Stall were all very friendly and couldn t do enough to please Excellent service all round Room was clean and well presented and everything you require was at hand ","","","",""
" We were given a twin beds pushed together that kept separating whenever someone went near the middle and also were given a room in the basement had a frosted window so there was some natural light but not able to open it or have a view Asked for both things to be fixed and the staff were unable to do anything except put a sheet over the two beds Staff were generally unhelpful and snooty no information given at check in"," Very clean nice facilities","","","",""
" As a family of three we needed the fold out bed which was really uncomfortable The head lower than feet and a metal bar could felt across back "," Breakfast was good and hotel short walk from tube and many sites ","","","",""
" there was no plug beside the bed for charging my phone "," i loved how the rooms were designed i can say it was the most hotel room i ever liked i was amazed by the bathroom floor as it was heated so your feet won t feel cold they provide for each room a cell phone with free internet national calls and international calls for selected countries near by most attractions friendly staff ","","","",""
" I requested a tomato soup in the evening from the bar The service was very bad the place was empty but they took ages to bring the soup It was awaful soup the worse I ever tried just a red color with heavy layer of fat with no taste disgusting For dinner eat outside the hotel there are acceptable resturants around the area "," I asked for gluten free bread and felt happy that it was available The location was good specially to paddington station if you want to use heathrow express ","","","",""
" Couldn t see a hairdryer but didn t ask so it may have been available "," Friendly staff quiet location good value clever storage facilities in room Convenient to restaurants transport ","","","",""
" A C in lobby was not operational during check in but not the fault of staff Felt badly for them as we were soon ensconced in our a c room ","Staff were extremely pleasant and accommodating We were first given a room on the first floor room starting with 1 basement requested a higher floor and were moved on night two to a room on the second floor starting with a 4 for the rest of our stay They were apologetic for not being able to move us on the first night but it was not an issue as we were wiped out from traveling and the beds were extremely comfy First room was nice but very small although the loo was sizeable Second room was more spacious and equally as clean We happened to visit during a warm spell July 20 25 16 and they provided us with ice promptly every evening upon our return Great perk to have a real kettle in the room Good water pressure in the shower mini shampoo etc provided if you forget don t want to bring your own We brought our own power converter but underestimated usage The lovely ladies at the front desk handed over an extra no deposit required Bellman so sorry I cannot remember his name from Bulgaria was so incredibly nice He truly went above and beyond Location an easy walk to both Lancaster Gate tube and Paddington Station A bit off the beaten track which was nice because it was very quiet","","","",""
" A lot of chipped and broken furniture Not much room in restaurant for a busy hotel Television was confusing to operate Loud air conditioning "," Spacious room staff were polite ","","","",""
" At the location we booked they said there were issues with the room so we had to go to a different location something this hotel seems to do a lot looking at the other reviews The other location was just around the corn we but the room we were given was definitely not the size we booked "," Location is good Close to the tube and to citibike stations ","","","",""
" No curtains in room and staff very unhelpful when told about them told we should have complained the night before but we did not notice as it was late when we got to the room Staff refused to deal with the complaint ","No Positive","","","",""
" Nothing It was all very good"," The staff were very helpful and despite our very late arrival they ensured we had food and were well settled The room was good and very quiet","","","",""
" N a","Staff very friendly room was a bit small but very clean and so comfortable Location were just nice 6 walking to the Lancaster gate station or bus stop or to Paddington station Super nice neighborhood","","","",""
" Bedrooms are way too small also double beds of three quarter beds Booking show you photographs for their larger rooms for their standard double rooms","No Positive","","","",""
"No Negative"," Hotel staff were very welcoming and helpful Room was large with bonus of fridge microwave which would have been great if stopping longer Superb freshly cooked breakfast ","","","",""
" Called up hotel to ask if I could leave a bag two days prior to check in and was informed this was OK On coming to the hotel I was informed I could not do so I would not have minded if I was given the correct information when I first called Secondly the receptionist on duty did not handle the situation well she was unsympathetic and said I may have misunderstood what was told to me by phone implying either I do not understand simple English or perhaps am too stupid to understand The halogen lights in the room are too bright and glaring "," The Handy phone was a nice touch ","","","",""
"No Negative"," Everything was great except the room is quite small for a couple very difficult to get around the bed The room was very clean and well attended to ","","","",""
" None"," I got absolutely nothing to complain about this hotel Booked a club room Big space very clean room great location The staff there is very friendly and helpful ","","","",""
" Noisy old floor"," Beautiful old hotel Top class staff capable of dealing with all kinds of requests or minor issues Delicious food and professional breakfast service I m very pleased with my stay in the hotel ","","","",""
" The room was just a bit compact Fine for a solo traveler but I wouldn t have wanted to be sharing Although having said that the bed was very comfy "," Clean friendly staff and great free wi fi ","","","",""
" Wardrobe space could have been bigger"," Excellent choice at breakfast very friendly staff bed very comy reception staff very helpful Would DEFINeTLY stay sgain","","","",""
"Room was very small and the wardrobe is only about 4 inches deep within a wall panel the bedside table below it made it very difficult to reach If only there for a night this would be acceptable but there was 2 of us for 4 nights This was described as a deluxe room and was told be reception staff that you need to book a club room to get anything bigger"," Bed was comfy shower a decent size Room cleaned daily ","","","",""
" Room and shower room very small Shower room was pointless as water just went everywhere and had to use all the towels to dry so that I could continue using facilities Lady serving drinks in bar was not qualified to serve as had no idea how to mix certain drinks "," Convenient and was close to my meeting ","","","",""
"Didn t like the first bedroom we were put in was in the basement dark and claustrophobic Given a better room on 2nd floor Breakfast room was bit small and very warm"," Breakfast was good Staff very attentive ","","","",""
" firm pillows"," Staff were superb especially Mr Joy who treated our girls very well Well located equidistant between Paddington and Lancaster Gate tube stations ","","","",""
"left my earrings behind called half an hour after check out the room hadn t been cleaned it was 5 minutes later but they couldn t find the earrings I saw them before leaving and believe they were taken"," clean tidy good location","","","",""
" Very small room the shower room could have been a lot cleaner as it was a wet room but very small the water covered the floor so using the toilet after someone had showered was very very slippery ","No Positive","","","",""
" The breakfast was crowded the restaurant small and food wasn t piping hot We were advised of WiFi but this wan t available in our room as was in the basement meaning we had no phone signal either not all bad "," Really good location but nice quiet street even though in the centre of London We had a really quiet room All facilities you would expect ","","","",""
"Room was a little small and 2 nights was enough"," Great location for Hyde Park concerts The room was clean and had everything we needed Reception helpful and attentive ","","","",""
"Rooms on the 4th floor are extremely small You have to wait in line to have breakfast the space where they serve breakfast is claustrophobic"," Staff is very friendly and helpful Excellent job from all the people working there from the restaurant to the reception Flawless Food was good as well ","","","",""
" The layout of the room was a bit awkward Otherwise our stay was lovely and we were very pleased with the accommodation "," We loved how close the hotel was to the Metro station yet still tucked away in a quiet area When we wanted to go out for a meal or to sightsee we only had to walk down the street ","","","",""
" Only stay here if a loud fan in the room does not bother you Even when I switched it off it was still really noisy The result minimal sleep Not ideal when all you want is a peaceful nights sleep ahead of a busy day ","No Positive","","","",""
" What s not to like "," Staff were friendly warm and efficient Beds super comfortable Proper hair dryer with no need to keep your finger on the trigger convenient location ","","","",""
" Hot breakfast didn t look very good very pale scrambled eggs not quite up to the standard of the rest of the hotel and breakfast Very limited wardrobe space "," Pastries fruit were very good and fresh with good selection","","","",""
" The continental breakfast was a bit too expensive "," The bed was extremely comfortable and the deluxe double room was just fine for a solo traveler although I think it would be a little small for two people ","","","",""
" I asked the desk person to order taxi for certain time but because tube down no taxis The person should have let me know right away unable to book taxi as had plenty of time instead I had to run with all my luggage and missed my bus Cost me additional money to get next bus ","No Positive","","","",""
" Breakfast too expensive "," They provided a free smart phone for use during our stay including free phone calls to the US It was loaded with maps and dining shopping information Room was clean and very comfortable Staff excellent Quiet location Great pub down the street The Mitre Check out the basement bar there Mary s Place Character and history very cool Close to the tube and Paddington ","","","",""
" More coffee sachets and some juice soft drinks in the empty mini bar would have been good "," Comfortable clean and quiet Staff were very friendly and helpful ","","","",""
"Got there at 12 15 to leave bags was told Room would be ready for 1 30 when we came back to hotel at 14 00 was not ready and had to wait another 15 minutes","Size of room for 3people and excellent location close to Hyde park","","","",""
"No Negative"," Everything about our stay was really great The staff were super attentive and extremely helpful The extra touch with the free wi fi enabled smart phone which was available for guests to take out and about during their stay with free national and international calls was a very pleasant suprise and a really well thought through extra ","","","",""
" The room we were in only had a view of rooms across the other side of the building "," Ideal location for us Excellent staff attentive and professional ","","","",""
" bigger dining area for breakfast breakfast queus where possible if you are not an early bird this may be partially solved by recommending breakfast in bed for guests "," big fluffy bed modern refurbished look excellent service with bag handlers short way to metro Trainstation ","","","",""
" Beds are terrible Lumps and tilting Building is run down","How can my score be a 4 2 Now that I know that I m not surprised that I believed your reviews were good when in fact the property is terrible","","","",""
" I was moved to this hotel on checking into my original hotel Receptionist informed me that because of the change I was going to get breakfast inc when I went to the room I had been allocated it was very small in comparison to my original room I had booked I was disappointed and told staff who informed me that it was the only room available but I could check with her again in the morning Breakfast was ok but a very small area to move around in Think I was probably overcharged as well "," Location","","","",""
" My bag was stolen from the hotel lobby and that speaks a lot on poor management and lack of security It took the hotel half an hour to view the cctv footage and i think the response from the management was atrocious I lost a lot of money and as a traveler it was a nightmare to be in an alien city without any help from the management The management did not even apologies for what has happened I would advise Booking com to withdraw the hotel from their system and also advise travellers to not to stay at this hotel Imagine a bag being stolen from the lobby of the hotel Very poor attitude and shockingly unbelievable behaviour "," I liked the staff in the restaurant very warm and efficient ","","","",""
" The staff is unorganised I ve booked the hotel through booking com and I ve paid for the room in advanced The staff kept on letting me put in my card again and again thinking that I haven t pay yet Which made me late for the meeting Also I ve arrived an hour later than the time they set for the check in and my room is still not ready "," Bed is comfy and the room is clean The ac is adjustable which is very good","","","",""
"1 I booked a deluxe room a couple with 6 months infant and noted my late check in by calling the hotel Upon arrival no one helped us with the babystroller and our 3 bags receptionist was looking and waiting 2 we have been given a room that is just a door and you directly must hop on the bed I doubt if it is suitable for human being though we have an infant and I ve been told ooh ok that was our last room sleep and squeeze your baby and tomorrow we give you another one 3 in that room no refrigerator to keep my baby s milk and food I guess that is illegal and no one cares 4 there is no shampoos no soap nothing at all a blocked sink 5 next day another room and offered me a breakfast to please us after I spent the night sleeping under the bed to give a space to my child 6 I just had a look at the breakfast sorry this is not something to offer I moved away immediatly 7 The hotel is outdated and rubbish 8 They took extra booking price compred to the one I see on booking with a difference of 100 USD"," Nothing at all I am a frequent traveller and this stay was definitely my worst nightmare Disgusting by all means Kindly avoid avoid avoid things cannot be worse","","","",""
" The room was slightly cramped There was an unnecessary mix up with the registration which resulted in our getting a smaller room but had free breakfast thrown in instead "," Good location and the free use of a mobile handy with maps underground free int and local calls fantastic ","","","",""
"The hotel good location and clean but some staff very badly with me really I surprised from them They should be more professional and helper all coustmers they need more study and qualify in field hotel business Bcz the price increasing more that 150 that not accepted in any hotels and countries special in UK we like UK Thanks","The hotel good location and clean but some staff very badly with me really I surprised from them They should be more professional and helper all coustmers they need more study and qualify in field hotel business Bcz the price increasing more that 150 that not accepted in any hotels and countries special in UK we like UK Thanks","","","",""
" Bathroom was very tiny "," Breakfast was good and staff very friendly I really loved that each room has a Smartphone with unlimited calls and internet in London for your personal use if you feel like taking it out Room was very clean and bedding seemed new or in very good condition ","","","",""
" The breakfast area seemed to be too small to accommodate all the guests Every time we came there was a waiting time to be seated However well managed by the staff "," Due to some technical problems at the Park Grand hotel we were rebooked to a neighboring property Paddington Court hotel We were very much impressed by the very helpful and friendly staff at the front desk the bar the restaurant and the concierge Special thanks to Sara at the front desk for helping with all the transportation arrangements that we needed ","","","",""
"Maybe a little nicer view For 2 nights though no grumbles"," Bed was ridiculously comfy I wanted to take it home Friendly staff Just a little outside of the centre but nothing a tube ride can t fix Also they gave us a free upgrade to a twin queen room ","","","",""
" View from room was of a wall looking at another part of the building "," Staff was attentive and Jr Suite was spacious Proximity to Paddington Station was short walk ","","","",""
" We ended up in a very small room up many flights of stairs even by London standards and no one ever came to fix the TV Because we were relocated to the attic we did get free breakfasts "," Clean refurbished and friendly staff Breakfast was good ","","","",""
"The room was very compact and the bathroom was a space saving wet room a bit of a squash for 2 people but manageable for a couple of nights"," Absolutely superb location on the doorstep of Kensington Gardens and close to Notting Hill ","","","",""
" Bathroom was small and with few shelves or places where to put personal stuff such as combs cream shaver etc Room lights were poor no night lights for raeding Hair dryer inside a wardrobe not accessible from the bathroom only to be used from the bed Furniture in wood needed maintenance "," The bed was very comfortable Room was quite big with enough space to move around It was also very silent no noise from outside or other rooms Location was fabulous very nice area and near two metro stations very close to the park for daily morning exercise","","","",""
"No Negative"," I picked this as a stop over for the Heathrow Express as reasonably close to Paddington and the Underground Quiet and comfortable and much better ambiance and value than the converted properties in Bloomsbury around the BM where I stayed before Good choice Lots of wonderful eateries nearby ","","","",""
" Room was dark and cramped not great value for money "," Great location just a short walk to Paddington underground Kensington gardens and Harrods Staff were friendly","","","",""
" The room is too small especially the toilet It does not have a proper shower area and everything is wet after one is taking a shower ","The location is OK less than 10 min walk from Paddington station","","","",""
" The shower flooded the floor every time The basement room had no opening windows to a grotty storage yard The bar shut too early "," The room was very comfortable The shower was very good although it flooded the floor every time ","","","",""
" Slight back room noise in our room from outside the staff did try to deal with it but couldn t do anything about it but did offer alternatives"," Staff very helpful and riendly","","","",""
"We were transferred to grand park paddington court and was not able to see the rooms I booked The court s room toilet and bath is small not suited for 2 persons as expected"," Free wifi handyphone","","","",""
" room was on the ground floor named club room indeed good in size but with strange dispositioning of wardrobe hairdryer "," Location polite good staff especially at breakfas very good bed","","","",""
"Nothing really other than room maybe slightly small for 3 people but manageable"," Excellent staff Friendly helpful and attentive Quiet area opposite a small park but close walking distance to bars restaurants and tube ","","","",""
"No Negative"," Had a double room which was small but well layed out and modern staff all very polite and breakfast was good Great location for Paddington station as had to get an early train ","","","",""
"Despite 5 rooms being paid for IN FULL in advance with a company credit card the hotel were still worried about something what I don t know so they insisted the person named on the credit card to be present even though they had already been paid Ridiculous One of our travellers paid for breakfast then when she sat down for breakfast they told her she had not paid when she had We will NOT be using this hotel again","No Positive","","","",""
"No Negative"," Food at Restaurant was simply awesome for an indian traveller The breakfast was superb Complimentary Mobile for the stay with free calling facility is great idea","","","",""
" The room was overall filthy i doubt if the bed sheets were changed before my arrival and the toilet cleaned found human hair in both The corridor smelled burned cooking oil from the kitchen It was one of the most disgusting hotels I ve stayed at It certainly didn t worth the amount of money i paid for it ","No Positive","","","",""
" The breakfast buffet was ample but not high quality products I would suggest going elsewhere for a good English breakfast "," I was actually moved to the Paddington Court location a block away from the London Paddington still Park Grand chain I appreciated a modern comfortable well designed room that met all my needs even though it was tiny that s just London Short walk to either Paddington or Lancaster Gate stations in a very nice neighbourhood away from the tacky side of Paddington I would definitely return here in the future ","","","",""
"We were there for 5 days it would be nice to have something different for breakfast not the exact same thing everyday There was only one elevator so sometimes it was a bit of a wait"," The staff was excellent each and every one of them ","","","",""
" I was moved on arrival despite only booking that day Apparently there were maintenance issues but it didn t stop the group in front of me checking in The hotel I moved to was further away from where I needed to be small room was not the cleanest a bit tired and not somewhere I d have chosen to stay Overpriced and dissatisfied ","No Positive","","","",""
" Everything was fantastic only thing that could have been better is that my bed was too short "," The lady cannot remember her name who checked me at the front desk was amazing full of energy and happy to assist me in any questions I had It was a pleasant way to start my stay ","","","",""
" Nothing "," Friendly and helpful staff who also let us store our luggage following check out The beds were very comfy even the sofabed Good shower My friend s and I were very impressed I would definitely stay again ","","","",""
"We booked a deluxe double room for 3 nights spent two nights in a compact double room No deluxe double rooms were available for us We also didnt get fresh towels on day two Definitely not 4 stars","No Positive","","","",""
" There were no real restaurant facilities only the breakfast room and then the bar "," Really good staff excellent facilities the hotel was changed from the original booking but this was dealt with professionally by the staff ","","","",""
" Really helpful staff but staff were not allowed to kept the bar open after our visit to The Shard so eight of us had to have a drink in one bedroom"," Incredibly helpful staff","","","",""
"Basement room so no natural light Couldn g get room service on one of the nights Listed as 4 Star Hotel I wouldn t rate it that high compared to others I have stayed in"," Staff were helpful and gave us an umbrella as it was raining heavily Check In was easy ","","","",""
" Room not available on time Staff helped someone behind us before helping us Hotel insisted on photocopying my identification which I refused breakfast disappointing","No Positive","","","",""
" The room was very difficult to access within the building which consists of townhouses that have been remodeled as a hotel We had to go up an elevator up some stairs down some others and it was confusing long and very difficult to handle with our heavy bags Thankfully the staff is attentive and responsive and there to help with luggage Another issue was that while the bed and room was clean the window was very dirty The window was also small due to the location of the room within the building "," The room was very good for the price considering the quality of the linens and comfort of the bed Also the cost of the breakfast was included and it was very copious with all the coffee we could possibly want and a very good selection of fruits yoghurt cereals breads pasties eggs among other offerings all included in the cost I booked on this site and got a very good rate for a triple room as we were traveling with a child Very good location near the train station we were leaving the next day and overall good value for the money ","","","",""
" The people behind the desk really ought to be able to read the details of a booking properly to avoid guests being misdirected to a considerably smaller room This took too much time to correct "," When my daughter and her friend finally were given the correct room the one that I had reserved and paid for that was a relief ","","","",""
"Bed was hard as a rock Worst nights sleep ever Bedroom was squashed was tiny no need for the word deluxe far from it No breakfast included and already paid 141 pound to stay Never staying again"," Nothing Not a good hotel The one next to it looked better and well maintained ","","","",""
" Rooms are slightly small and there is just a little noise from the corridor because the floor is wood "," Personnel is very kind Rooms are very cosy and beds super comfortable Breakfast is very good ","","","",""
"No Negative"," Our room was on the second floor clean quite and very comfy bed The shower was powerful and amazing Can t comment on food cause we didn t eat in the hotel Location was central next to Paddington station and the underground We do recommend the hotel and may use it again in the future ","","","",""
"There is no shower cabinet but the shower is only separated via curtain The complete bathroom was wet after taking 10 minutes shower At check in they offered to give us a local smart phone and we signed some papers It was supposed to be at room but we never received the phone even after calling the reception from the room twice When we asked at reception they apologized for it and told us there was a problem but I found it quite weird"," The staff was really friendly for check in The room was clean and tidy The location is safe and close to the subway station ","","","",""
" poor staff that couldn t help me having to pay for the room before I checked out having a damp basement room that shouldn t have been rented out water stains on the ceiling"," the room styling","","","",""
"The booking was done for Deluxe Double room and from 23rd I called them ahead to tell them I will be checking only on 24th Morning I land up to find the reservation was on hold even though they had charged me on the previous day itself Once it got unblocked they provided me a Compact Room where if you walk you will hit a wall When I enquired about the same the staff was unapologetic and started explaining how the Victorian buildings tend to become smaller on higher floors When I was not buying the story they provided me the actual Deluxe Double Room that is more comfy The staffs arrogance and lack of coordination is seriously needs to be looked at During all these commotion that manager didn t even bother to come out from his Palace"," Location is the greatest advantage for property ","","","",""
" Nothing springs to mind I didn t take advantage of the breakfast deal Portobello Market was waiting so couldn t rate that "," Extra friendly staff and a free room upgrade Best room I ve had in London Wish I could have stayed a week Location works well in a tidy and upmarket area Would recommend ","","","",""
" The most expensive and also the smallest room with minimal facilities that we stayed in for over a month in Europe but hey that s London Consistent with most other hotels in this area for the price "," Good location with easy access to Paddington Station and other tube stations and bus routes nearby Short walk to Hyde Park Staff were very eager to please and helpful with extra tea coffee items in room umbrella loan taxi s etc Have stayed in this area several times before and this is a good hotel consistent with others in the area for the size of room and price A bit quieter than those closer to Bayswater Road Some really nice little pubs cafe s and restaurants around the area away from Paddington central ","","","",""
" Didn t dislike anything"," Loved location polite staff nice and central to explore London Nice breakfast to start the day Will be staying here again","","","",""
" The rooms could be refreshed there s a different design on the photos than in reality Also the airconditioner could be refreshed it was a bit smelly but fortunatelly we didn t needed so we could turn it off "," The location is very good in a quiet area five minutes walk to metro stations or bus stops close to Hyde Park The staff was nice and very helpful we didn t like the first room we get they changed it very quickly the room was very clean the cleaning was perfect it s quite well equipped the bed was very comfortable We could check in quite early We recommend this hotel we would book a room here again ","","","",""
" Room is quite small "," Helpful friendly staff comfortable bed and well equipped room Liked the wet room style bathroom Made use of left luggage facility made such a difference not having to keep cases etc with us all the time ","","","",""
" Pretty tight space Tiny bathroom "," Walking distance to underground station Room was quite small but comfortable Staffs were friendly and helpful ","","","",""
"room beside outside air con which came on and off during the night which was noisy breakfast very expensive at 12 when you could go across the road for 3 50"," comfortable room staff very friendly","","","",""
" The bedroom furniture was a bit tired and the wash hand basin was cracked "," Breakfast was splendid Very kind friendly staff made it a very enjoyable experience ","","","",""
" Was a bit a a walk from Paddington not ideal when dragon a case"," Friendly welcome from the receptionist and all staff were attentive and always greet you Room was very modern and comfortable ","","","",""
"We recived a groud floor room where the windows where located above the staff s smokeing area The hotel blocked the amount of money coresponding to one night payment from my creditcard an after 1 weak I still didn t reciveit back"," Good location nice room wifi access included Luggage keeping facilities included ","","","",""
" Noisy neighbour"," Excellent staff They had a problem with my original booking but moved me to another room which was one of their branches down the street Give us free breakfast the next day very kind of them Clean and comfortable room Good breakfast","","","",""
" a socket for plugging your phone next to the bed "," Staff was very friendly and helpful From answering question how to get to from as finding answers to specific shopping questions Nice neighborhood quiet for a big city rooms with windows and daylight great shower comfortable sturdy beds not too soft separate closet and entree ","","","",""
" Room was a bit tired the air unit or heater or whatever buzzed all night which was very annoying and storage closet space was limited London itself has become a tarpit foul air congestion and everything and I mean everything is so grossly overpriced The city probably tainted my view on the hotel somewhat but I will never visit London again other than perhaps in transit to somewhere more pleasant "," The area was quiet safe and easy to get to from Paddington Station Beds were comfortable ","","","",""
" The facilities were very basic Breakfast was expensive and extra The location is a little out the way and the food offer is very basic The room was very basic bed was comfortable Check out was a nightmare "," The Hotel was clean ","","","",""
" Nothing negative to stay the place is wonderful"," The staff here are incredible and go above and beyond We had the best time and will definitely be back","","","",""
" got moved to park grand paddington court and was allocated to the basement should have a choice of not preferring basement before","location was good around 5 10 minutes walk to paddington railway station staff very helpful in helping to book a taxi to heathrow airport","","","",""
" I was expecting a delivery at the reception and despite having a confirmation of the delivery the night staff refused to give it to me arguing that it has never been delivered It is only when I ve threatened them to call the police that my package suddenly reappeared without the slightest apology Outrageous I strongly advise you to chose another hotel if you have any concern for your belongings ","No Positive","","","",""
"The room for the price When I went through booking com I looked at the pictures under the room I was booking The room I got and the pics of the room was completely different ends of quality I m lucky I complained and they gave me an upgrade 150 pounds for this I wouldn t have paid 75 for it"," Staff were friendly ","","","",""
" Nothing to dislike"," The bed was fine Breakfast so much choice and well presented The Chef went out of his way to provide me with two fried eggs for breakfast ","","","",""
" my only issue was at check in where the reception staff sought to take an imprint of my credit card using an old swipe machine Although this was procedure I objected to any swipe of my card I am happy to leave holding deposit for additional costs but refused The staff to be fair didn t argue I have stayed at sister hotel without problem "," Lovely room ","","","",""
" Breakfast is not very good especially the scrambled eggs were tasteless Bedsheets very hard and itching Skin was very rough afterwards for days Please change your detergent"," Chic modern interior design great location in Paddington staff very friendly and helpful","","","",""
"No Negative","Greeted very warmly by the lady in charge of the dining room This was our second visit in 3weeks and she remembered that my daughter required gluten free breakfast Great quality produce for continental and cooked breakfast Very well trained attentive pleasant waiting staff A happy workforce working very well as a team Excellent Very attentive reception staff great welcome and we re delighted to be upgraded to a Juniir suite which was very spacious with a lovely view of the green square Very quiet","","","",""
" I like to sleep with the windows open which meant I was disturbed by street noise in the early hours my husband is a heavier sleeper so heard nothing ","This is our second visit to the Park Grand it s just a 10min walk from Paddington train station The staff were welcoming and friendly the room comfortable and clean Good choice at breakfast","","","",""
" Air conditioning awkward to control Would rather have been able to open a window especially while asleep ","Flexibility staff very eager to please Quiet area Near to Lancaster Gate tube and Hyde Park where we had a great morning having coffee and cakes at the Lido Cafe Also enjoyed the traditional London sing song at the Duke of Kendal pub on Sunday night Handy for the 205 bus which took us all the way to Kings Cross much easier than the tube","","","",""
"there was a terrible noise all throughout the night sounded like there were pipes rattling really loud every time I opened the bathroom door i could hear next door as thought they were in the room with us The hotel charged me a 91 retainer prior to arrival which i still havent been refunded","No Positive","","","",""
" Room was changed at arrival Not sure how was the original one supposed to look like The one we got was a bit dated otherwise ok "," Room size bathroom ok Complimentary breakfast as result of room change Location very good Quick access to Lancaster Gate and Paddington Tube stations ","","","",""
"They dont clean the room very well i give them 7 from 10"," The staff were amazing They want to help and even they ask you after few hours what happened and do you beed other help Pemela and her colleague i cant remember her name they were very very amazing in supporting me","","","",""
" Menu and lack of room service at certain times Some rooms are really noisy you can hear full conversations of the people next door There are other rooms where a huge fan goes off outside The building needs better Windows to keep the noise out "," Staff are friendly and accommodating ","","","",""
" Breakfast could be better More yogurt choices larger croissants more fresh fruit Service was great there and in the bar Cappuccino was bitter Machine may need cleaning "," You need new pillows They need to be softer I was in Jersey at the Radisson Blu and theirs were so comfy ","","","",""
"Rooms are very small hardly any space to move Every day 2 small bottles of water be provided There should be atleast one more electric socket"," Friendly and helpful staff Good chef and accommodating","","","",""
"The room is very very small The room was not cleaned daily So far from the stations tube and bus It s for sure not a 4 stars hotel as it s part of a residence building"," Staff are friendly and always smiling ","","","",""
